inputs,aspects,sentiment
- Serviço de recepção muito ruim a noite;,serviço,-1
- Serviço de recepção muito ruim a noite;,recepção,-1
"- Acomodações com mobiliário velho e ruim, colchão péssimo;",colchão,-1
"- Ar condicionado sem funcionar, passamos frio a noite;",No aspect,None
"- Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.",No aspect,None
"A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc.",localização,1
O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.,serviço,1
O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.,hotel,1
A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também.,cama,-1
"São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo.",No aspect,None
"Mas, pelo tempo que se passa no hotel, não faz tanta diferença.",No aspect,None
Super indico.,No aspect,None
"A localização é ótima, limpeza ótima e também o atendimento.",localização,1
"A localização é ótima, limpeza ótima e também o atendimento.",limpeza,1
"A localização é ótima, limpeza ótima e também o atendimento.",atendimento,1
"A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa.",cama,1
"O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio.",chuveiro,-1
"Tem tudo perto do hotel, supermercado e McDonald, se quiser.",hotel,1
A estação do metro é bem ao lado mesmo!,No aspect,None
"No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.",No aspect,None
"Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram.",quarto,0
"O cheiro estava impregnado no colchão, travesseiros e carpete.",colchão,-1
"O cheiro estava impregnado no colchão, travesseiros e carpete.",travesseiro,-1
"O cheiro estava impregnado no colchão, travesseiros e carpete.",carpete,-1
A maior enganacão da minha vida!,No aspect,None
"Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo.",No aspect,None
"Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor.",No aspect,None
"Quando abrimos a porta do quarta, um cheiro insuportável de cigarro.",No aspect,None
"Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam.",No aspect,None
"Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete.",No aspect,None
"Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo.",No aspect,None
"Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet.",No aspect,None
"Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel.",No aspect,None
"Formula 1, só no Brasil!!!",No aspect,None
"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",quarto,-1
"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",hotel,-1
"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",escada,-1
"Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).",elevador,-1
Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.,recepção,-1
