inputs;aspects;start_position;end_position
"- Serviço de recepção muito ruim a noite; - Acomodações com mobiliário velho e ruim, colchão péssimo; - Ar condicionado sem funcionar, passamos frio a noite; - Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.";colchão;85;92
"- Serviço de recepção muito ruim a noite; - Acomodações com mobiliário velho e ruim, colchão péssimo; - Ar condicionado sem funcionar, passamos frio a noite; - Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.";recepção;13;21
"- Serviço de recepção muito ruim a noite; - Acomodações com mobiliário velho e ruim, colchão péssimo; - Ar condicionado sem funcionar, passamos frio a noite; - Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.";serviço;2;9
A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.;hotel;148;153
A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.;cama;369;373
A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.;localização;2;13
A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc. O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo. São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo. A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também. Mas, pelo tempo que se passa no hotel, não faz tanta diferença. Super indico.;serviço;137;144
A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;atendimento;48;59
A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;hotel;323;328
A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;chuveiro;260;268
A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;cama;63;67
A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;localização;2;13
A localização é ótima, limpeza ótima e também o atendimento. A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa. A estação do metro é bem ao lado mesmo! O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio. Tem tudo perto do hotel, supermercado e McDonald, se quiser. No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;limpeza;23;30
A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!;carpete;647;654
A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!;colchão;623;630
A maior enganacão da minha vida! Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo. Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor. Quando abrimos a porta do quarta, um cheiro insuportável de cigarro. Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam. Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram. O cheiro estava impregnado no colchão, travesseiros e carpete. Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete. Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo. Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet. Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel. Formula 1, só no Brasil!!!;travesseiro;632;643
