inputs;aspects;start_position;end_position
"- Serviço de recepção muito ruim a noite;";serviço;2;9
"- Serviço de recepção muito ruim a noite;";recepção;13;21
"- Acomodações com mobiliário velho e ruim, colchão péssimo;";colchão;43;50
"- Ar condicionado sem funcionar, passamos frio a noite;";No aspect;-1;-1
- Quando pedimos para verificar as coisas, a resposta é que por se tratar do tipo do hotel era assim mesmo.;No aspect;-1;-1
A localização é ótima, dá para ir a pé em vários pontos turísticos como Times Square, Grand Central Station, Bryant Park, 5th Ave etc.;localização;2;13
O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.;serviço;2;9
O serviço do hotel é ótimo e caso pegue os quartos com banheiro compartilhado é super tranquilo.;hotel;13;18
A única coisa ruim é que o quarto é pequeno e a cama de casal é pequena também.;cama;48;52
São dois banheiros individuais no andar, muito limpos e no quarto ainda tem um lavabo.;No aspect;-1;-1
Mas, pelo tempo que se passa no hotel, não faz tanta diferença.;No aspect;-1;-1
Super indico.;No aspect;-1;-1
A localização é ótima, limpeza ótima e também o atendimento.;localização;2;13
A localização é ótima, limpeza ótima e também o atendimento.;limpeza;23;30
A localização é ótima, limpeza ótima e também o atendimento.;atendimento;48;59
A cama era ótima e dormimos muito bem depois de passear o dia todo, paris é maravilhosa.;cama;2;6
O que deixou a desejar foi o banheiro, que é extremamente pequeno e o chuveiro oscila muito entre o quente e frio.;chuveiro;70;78
Tem tudo perto do hotel, supermercado e McDonald, se quiser.;hotel;18;23
A estação do metro é bem ao lado mesmo!;No aspect;-1;-1
No geral recomendo, mas não esqueça que o quarto e wc são BEM pequenos.;No aspect;-1;-1
Mas o cheiro que havia no quarto, digo com seguranca de que não se deve a uma ou duas pessoas que fumaram.;quarto;26;32
O cheiro estava impregnado no colchão, travesseiros e carpete.;colchão;30;37
O cheiro estava impregnado no colchão, travesseiros e carpete.;travesseiro;39;50
O cheiro estava impregnado no colchão, travesseiros e carpete.;carpete;54;61
A maior enganacão da minha vida!;No aspect;-1;-1
Já fiquei em Hoteis Formula 1 em São Paulo e Rio e recomendo à todos que procuram um lugar barato e simples, mas ao mesmo tempo limpo.;No aspect;-1;-1
Assim que chegamos e fizemos o check-in, subimos para nosso andar e o cheiro de cigarro já comecava no corredor.;No aspect;-1;-1
Quando abrimos a porta do quarta, um cheiro insuportável de cigarro.;No aspect;-1;-1
Reclamamos na recepcão, mas disseram que não podiam fazer nada, que eles avisavam os hospedes que não podiam fumar, mas alguns fumavam.;No aspect;-1;-1
Pra mim, quando o hotel mudou de fumante para não fumante, simplesmente colocaram uma placa de proibido fumar nas portas, mas não trocaram colchoes, travesseiros e nem limparam o carpete.;No aspect;-1;-1
Tentamos passar a primeiro noite, mas minha mulher e eu ficamos mais acordados e espirrando do que dormindo.;No aspect;-1;-1
Às 3h da manhã eu estava acordado e buscando outro hotel, na Internet.;No aspect;-1;-1
Embora já tivesse pago 3 noites no F1, na manha seguinte, fui para outro hotel.;No aspect;-1;-1
Formula 1, só no Brasil!!!;No aspect;-1;-1
Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).;quarto;3;9
Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).;hotel;61;66
Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).;escada;96;102
Os quartos necessitam de obras rugentes, bem como o restante hotel (incluindo hall dos quartos, escadas, elevador).;elevador;105;113
Os vossos colaboradores da recepção deverão estar melhor informados sobre os preços praticados sobre os preços praticados pelos taxistas.;recepção;27;35
A relação qualidade/preço é péssima.;No aspect;-1;-1
A vizinhança é esquisita e o quarto do hotel é muito pequeno.;quarto;29;35
A vizinhança é esquisita e o quarto do hotel é muito pequeno.;hotel;39;44
O cobertor da cama cheirava a urina e o banheiro também fedia.;cama;14;18
Os empregados do hotel são extremamente mal-educados e grossieros.;No aspect;-1;-1
Não recomendo de maneira alguma!;No aspect;-1;-1
O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.;hotel;2;7
O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.;localização;22;33
O hotel está em ótima localização perto de tudo, é só pesquisar na internet onde quer ir e pegar seu mapa no próprio hotel.;internet;67;75
O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.;quarto;18;24
O hotel conta com quartos limpos e arrumados, café da manhã muito bom para padrões americanos.;café da manhã;46;59
Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.;atendimento;0;11
Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.;tv;31;33
Atendimento sempre prestativo, tv com canal brasileiro, internet,os elevadores que são muito concorridos mas tudo vale à pena se você está em NY.;elevador;68;76
Acabo de chegar de New York e tudo esteve perfeito.;No aspect;-1;-1
Room Tip: Não se preocupe porque os quartos que dão para rua são bem isolados.;No aspect;-1;-1
Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?;localização;11;22
Adoramos a localização do hotel, várias entradas de metrôs, na esquina o Arco do Triunfo com a Avenue Champs Elysses, quer mais?;hotel;26;31
Seus atendentes e serviços são bem básicos e objetivos.;serviço;18;25
"O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";café da manhã;2;15
"O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";serviço de quarto;112;129
"O café da manhã ficou um pouco a desejar e achei a suíte apertada para três pessoas; o hotel não oferece nenhum serviço de quarto além da limpeza diária.";limpeza;138;145
Além de muito bem localizado (fica entre o Central Park e a Times Square, bem ao lado de uma estação de metro), o preço dele era o mesmo de alguns hotéis de categoria inferiores.;preço;114;119
Os quartos eram limpos e novos, porém um pouco pequenos.;quarto;3;9
Estávamos em 3, mas pegamos um quarto para duas pessoas e uma cama extra e isso foi suficiente.;cama;62;66
Se volta à NY, definitivamente pretendo ficar novamente no hotel.;hotel;59;64
Adorei minha estadia no Sheraton New York.;No aspect;-1;-1
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.;localização;18;29
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.;atendimento;80;91
Além da sua ótima localização, próximo a Champ Elysees e 2 estações de metro, o atendimento pelos profissionais do hotel foi excelente.;hotel;115;120
Tive problemas com minha bagagem que não chegou junto com meu voo e o pessoal da recepção teve muita presteza e simpatia em me ajudar a resolver o problema.;recepção;81;89
Hotel confortável, decoração bonita e um serviço muito bom.;No aspect;-1;-1
Fiz a reserva via operadora de turismo e o preço saiu em conta, bem melhor do que a tarifa balcão.;No aspect;-1;-1
Recomendo.;No aspect;-1;-1
Apesar da sua localização um pouco fora do centro histórico, é perto e fácil de lá chegar.;localização;14;25
Fica junto a estação Gare de Lyon, o que facilita a deslocação pela cidade através de metro e comboio.;cidade;68;74
O quarto, apesar de pequeno, muito confortável e bonito!;quarto;2;8
Com um serviço de limpeza impecável, foi uma estadia bem agradável.;serviço;7;14
Com um serviço de limpeza impecável, foi uma estadia bem agradável.;limpeza;18;25
Contudo, os funcionários do restaurante falavam pouco inglês o que dificultou alguma comunicação.;No aspect;-1;-1
Apesar de boa localização, um dos piores hotéis que já fiquei.;localização;14;25
Os elevadores já são pequenos, quartos também.;elevador;3;11
Os elevadores já são pequenos, quartos também.;quarto;31;37
A limpeza é falha.;limpeza;2;9
Quartos mal limpos, funcionários cheirando muito mal e também mal-educados.;funcionários;20;32
Dentre as grosserias, um recepcionista reclamando do horário do check-out.;horário;53;60
Impossível de recomendar o hotel para um amigo.;hotel;27;32
Perde todo o padrão Ibis.;No aspect;-1;-1
Precisei pedir para trocar de quarto porque o primeiro era apenas cheiro de cigarro e o quarto que me colocaram em seguida, era minúsculo.;No aspect;-1;-1
o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.;hotel;156;161
o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira.;elevador;185;193
A recepção fica num ângula que nem vê quem entra e sai..;recepção;2;10
