inputs;aspects;sentiment
Quarto simples e pequeno, porém muito aconchegante, com banheira (nem todos possuem banheira, é necessário pedir antes). Próximo do metro, minutos a pé da torre eifel, mercados e até mesmo uma feira (domingos) em frente ao hotel. Local bastante movimentado, porém silencioso, apesar da linha de trem na frente. Quando for novamente a Paris ficarei neste hotel.  Room Tip: Peça um quarto com banheira;banheira;0
Muito bom hotel, banho gostoso ao final de um dia de passeios, cama com ótimo colchão, roupa de cama legal, o café da manhã delicioso, funcionários sempre muito gentis e pacientes com nossa dificuldade com o idioma, além de ter mercado, metrô, restaurantes próximos.  Só não o classifico como excelente por achar um pouco distante dos principais pontos turísticos, para chegarmos só com uma boa caminhada ou outro meio de transporte, se estivesse um pouco mais perto seria simplesmente perfeito!!!!;roupa de cama;1
Bom hotel. Excelente localização pois é perto do metro Cambronne e a região é agradável, com cafés, lanchonetes e farmácia bem em frente ao hotel.   Café da manhã fraco, mas aceitável.   Quartos pequenos, banheiro muito pequeno, mas estão bem cuidados de modo geral.   Minha única reclamação é com relação a falta de comunicação entre os empregados do hotel da noite e do dia pois tive problemas com agua vazando no meu banheiro e demorou 2 dias para se resolver (mudar de quarto).;hotel;1
Hotel com ótima localização, atendimento e limpeza. Os quartos poderiam ser maiores pelo valor pago. Ainda assim, voltaria a me hospedar lá. O chuveiro do banheiro também poderia ser melhor, pois seu suporte estava rachado, dificultando sua fixação. Não contratei café-da-manhã, por isto não tenho como avaliá-lo. A equipe do hotel é muito atenciosa e educada.;atendimento;1
Achamos tudo muito bom. A localizaçao é a melhor possivel. Meia quadra do metro St Michel. Mas, pea quem tem pique como a gente, da pra ir a pé para St Germain, para o Louvre, a Notre Dame, a Champs Elysee, e outros tantos lugares. O unico ponto negativo é o tamanho do quarto, coisa q parece comum em Paris. Em minha proxima visita, pretendo ficar aqui novamente.;quarto;-1
otima localização no haut marais. perto do Marais e perto da Place des Vosges, ao mesmo tempo perto do mercado dos Enfants Rouge. O quarto tem o tamanho bom e o banheiro do meu quarto era bem grande e com janela para a rua o que é otimo. o atendimento é excelente  Room Tip: conheci o do terreo para quem nao quiser usar o elevador e o do segundo andar. ambos bons;elevador;1
Recomendo o Ameritania Hotel para que vai visitar Nova York e quer ficar bem localizado!! Além de ter uma decoração inovadora e moderna, as cores são quentes e os quartos são lindos. O tamanho do quarto é ideal, aconchegante e moderno. Sem falar que o hotel fica muito bem localizado em Nova York, muito perto da Times Square e do Central Park, dá para ir caminhando. O serviço de bar do hotel é ótimo!! Café da manhã muito bom!! E o atendimento é impecável!! Adorei e voltaria lá com certeza!!!;hotel;1
Hotel antigo mas conservado, bom quarto, limpo mas algo decadente...  Servico eficiente e profissional. Otima localizacao, com acesso facil ao metro (em frente). Nas costas do Museu do Louvre, ao lado do portao de Richilieu, infelizmente a vista nao correspondeu as expectativas... No geral muito bom, mas caro pelo que oferece... vale pelo conjunto e localizacao... Internet wireless gratuita. Sem estacionamento.;hotel;1
Amei este hotel, a decoração é linda, o quarto muito confortável.Localização muito boa para o que eu precisava!A equipe foi atenciosa. O café da manhã é bom e os funcionários do restaurante atenciosos.  A limpeza realmente chama a atenção pelo cuidado.  Recomendo, e na próxima viagem voltarei ao Le Littre.;localização;1
Apesar dos quartos serem bem pequenos, achei limpos e possibiltam sono agradável. É muito distante dos pontos turísticos de Paris, apesar de estação de metro próximo, perde-se muito tempo com deslocamento. o grande ponto negativo é que entram a toda hora pessoas não hóspedes, que moram pelas redondezas- bairro pobre para os padrões de lá e ficam circulando no hotel, pedindo para subir no elevador com você dizendo que esqueceram os cartões do quarto, quando você está vendo que é mentira. Vi até um testando a fechadura de um quarto para ver se não estava aberto... Dá certa insegurança... A recepção fica num ângula que nem vê quem entra e sai..;elevador;0
