inputs,aspects,sentiment
"A oferta de bares e restaurantes é razoável, mas deixa um pouco a desejar na comparação com os demais hoteis.",No aspect,
Um café da manhã digno.,café da manhã,1.0
"Os funcionários foram super friendly, hotel muito bem localizado, bem próximo ao metro.",hotel,1.0
Fujam desse hotel.,No aspect,
"Gostei muito desse hotel, a localizaçao, os funcionarios atenciosos e eficientes, internet wifii free no loby muito rapida e principalmente o tamanho do quarto.",internet,1.0
Mesmo com uma diária barata poderia ser pelo menos limpo.,No aspect,
"Para piorar as coisas, os 2 únicos elevadores do hotel estavam quebrados e não havia outra escolha, se não usar as escadas.",hotel,0.0
Fiz uma reserva equivocada nesse hotel achando tratar-se do Açores Premium no qual havia me hospedado no mês seguinte.,hotel,-1.0
"Não tivemos tempo de reclamar disso, pois poucas horas depois partiria nosso voo e estávamos com pressa.",No aspect,
"O atendimento é pessimo , voce pede um alguma coisa aos atendentes e parece que esta pedindo um favor , alem que todo dia voce acorda com o som dos onubis de turismo que param praticamente dentro do hotel .",atendimento,-1.0
Todos funcionários muito cordiais e simpáticos.,funcionários,1.0
"Melhor vaso sanitario que ja usei na vida, o sistema de descarga parece uma bomba de sucção!!!",No aspect,
"Bem localizado, atendimento correto e preço justo.",preço,1.0
"Não reserve com café da manhã, é caro.",café da manhã,-1.0
Lamar (gerente na ocasião).,No aspect,
"A localização e custo-benefício é ótimo para quem tem negócios e demandas naquela região, mas com certeza não voltarei a me hospedar neste hotel.",custo-benefício,1.0
Seus atendentes e serviços são bem básicos e objetivos.,serviço,0.0
"A cama até que é boa (box), café da manhã razoável.",café da manhã,1.0
"Tem um mercadinho monoprix quase ao lado do hotel, com vinhos de 3 euros maravilhosos!",No aspect,
Moradores da região me alertaram que não é seguro sair de noite.,No aspect,
e os funcionarios são muito prestativos.,No aspect,
"Viagem em familia em que se previligiou a localização e proximidade de transportes, o que para o efeito se revelou excelente.",localização,1.0
Porém acho que no sanitário do quarto faltou uma duchinha isto daria um pouco mais de conforto.,No aspect,
"Eu , mulher e filha ficamos muito satisfeitos com o hotel.",hotel,1.0
O quarto tem o tamanho bom e o banheiro do meu quarto era bem grande e com janela para a rua o que é otimo.,quarto,1.0
enfim maravilhoso e o preço muito justo.,preço,1.0
"Não é temático como muitos, tipo Paris, Mandalay, mas todos os bares, cafés e lojas dentro do hotel são luxuosos.",lojas,1.0
Acomodam bem um casal.,casal,1.0
O secador é horrível...,secador,-1.0
Excelente localização;,localização,1.0
"- o interfone também não funcionava, e também não pedimos o reparo porque tínhamos que descer e subir 4 andares.",No aspect,
"A localização é boa, perto de duas estações de metro.......o quarto possui uma pequena cozinha, mas o atendimento e limpeza é ruim...a limpeza é apenas uma vez por semana, fiquei 6 dias e por isso não limparam nenhum dia...sequer repor o papael!!!!",limpeza,-1.0
"Quando voltar a Paris, volto a ficar aqui já que gostei bastante da estadia.",No aspect,
"Excelente hotel, bom atendimento, quarto super espaçoso, limpo e organizado.",hotel,1.0
"Recomendo este hotel a qualquer turista em férias em New York, especialmente aqueles com crianças.",No aspect,
O restaurante nao é bom.,No aspect,
O preço é barato.,preço,1.0
"Pessoal da recepção falando também inglês, localização maravilhosa, no ponto mais charmoso e boêmio de Paris.",localização,1.0
